date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum
2021-04-19,86.1,55.7,82.5,46.8,0.0,0.0,0.0,16.2,27.84
2021-04-20,86.3,61.1,79.5,53.5,0.0,0.0,0.0,15.8,26.94
2021-04-21,79.2,65.9,69.0,54.0,0.0,0.0,0.0,26.3,26.9
2021-04-22,79.9,55.0,73.9,49.0,0.0,0.0,0.0,12.8,26.98
2021-04-23,83.8,56.7,79.7,48.6,0.0,0.0,0.0,14.3,27.77
2021-04-24,86.4,64.7,73.4,56.8,0.0,0.0,0.0,24.8,26.53
2021-04-25,80.0,64.2,66.8,52.7,0.0,0.0,0.0,24.3,24.89
2021-04-26,71.6,57.4,63.5,46.6,0.031,0.031,0.0,18.4,17.02
2021-04-27,67.7,51.5,62.9,46.7,0.004,0.004,0.0,9.7,20.38
2021-04-28,83.3,57.1,75.3,46.0,0.0,0.0,0.0,19.5,28.27
2021-04-29,89.1,61.6,85.6,53.9,0.0,0.0,0.0,11.5,28.43
2021-04-30,97.0,63.8,92.7,56.4,0.0,0.0,0.0,7.1,28.12
2021-05-01,95.1,71.9,82.9,64.1,0.0,0.0,0.0,21.4,23.12
2021-05-02,87.2,61.2,74.7,54.3,0.0,0.0,0.0,24.9,26.83
2021-05-03,83.1,64.0,74.3,52.9,0.0,0.0,0.0,20.1,28.88
2021-05-04,89.7,61.8,85.2,54.5,0.0,0.0,0.0,9.5,28.92
2021-05-05,93.2,67.4,88.4,60.4,0.0,0.0,0.0,10.2,28.87
2021-05-06,98.4,71.3,93.5,65.2,0.0,0.0,0.0,17.4,28.8
2021-05-07,91.7,70.9,81.4,63.6,0.0,0.0,0.0,21.3,29.01
2021-05-08,89.6,65.0,82.1,57.4,0.0,0.0,0.0,19.6,29.24
2021-05-09,87.9,62.1,83.3,53.9,0.0,0.0,0.0,9.5,29.58
2021-05-10,88.2,63.5,84.0,55.1,0.0,0.0,0.0,15.3,29.41
2021-05-11,87.0,64.9,83.0,58.3,0.0,0.0,0.0,9.3,29.61
2021-05-12,94.5,69.1,88.4,60.4,0.0,0.0,0.0,8.6,29.65
2021-05-13,98.1,72.9,94.2,66.8,0.0,0.0,0.0,13.4,29.79
2021-05-14,98.0,72.2,93.9,66.6,0.0,0.0,0.0,18.8,29.48
2021-05-15,93.4,72.6,81.3,64.9,0.0,0.0,0.0,23.3,29.81
