date,heat_death_count
2021-04-25,1
2021-05-02,0
2021-05-09,1
2021-05-16,1
2021-05-23,0
2021-05-30,1
2021-06-06,6
2021-06-13,3
2021-06-20,27
2021-06-27,13
2021-07-04,7
2021-07-11,61
2021-07-18,45
2021-07-25,11
2021-08-01,7
2021-08-08,11
2021-08-15,8
2021-08-22,8
2021-08-29,7
2021-09-05,3
2021-09-12,7
2021-09-19,2
2021-09-26,1
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,1
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,1
2022-05-22,4
2022-05-29,2
2022-06-05,2
2022-06-12,17
2022-06-19,5
2022-06-26,6
2022-07-03,9
2022-07-10,18
2022-07-17,15
2022-07-24,25
2022-07-31,7
2022-08-07,2
2022-08-14,7
2022-08-21,7
2022-08-28,7
2022-09-04,17
2022-09-11,10
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,1
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,2
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,2
2023-05-28,3
2023-06-04,0
2023-06-11,5
2023-06-18,2
2023-06-25,2
2023-07-02,7
2023-07-09,21
2023-07-16,24
2023-07-23,105
2023-07-30,66
2023-08-06,20
2023-08-13,13
2023-08-20,7
2023-08-27,1
2023-09-03,10
2023-09-10,2
2023-09-17,3
2023-09-24,1
2023-10-01,3
2023-10-08,0
2023-10-15,0
2023-10-22,1
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,1
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,1
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,9
2024-06-09,30
2024-06-16,16
2024-06-23,15
2024-06-30,35
2024-07-07,31
2024-07-14,74
2024-07-21,54
2024-07-28,68
2024-08-04,16
2024-08-11,45
2024-08-18,19
2024-08-25,9
2024-09-01,18
2024-09-08,13
2024-09-15,5
2024-09-22,0
2024-09-29,4
2024-10-06,6
2024-10-13,1
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,2
2024-11-24,0
2024-12-01,1
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,4
2025-05-18,2
2025-05-25,0
2025-06-01,10
2025-06-08,11
2025-06-15,17
2025-06-22,20
2025-06-29,18
2025-07-06,14
2025-07-13,23
2025-07-20,20
2025-07-27,12
2025-08-03,20
2025-08-10,20
2025-08-17,22
2025-08-24,29
2025-08-31,8
2025-09-07,6
2025-09-14,3
2025-09-21,2
2025-09-28,1
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,1
